,Name,Location,Guests,Bedrooms,Beds,Baths,Price (Night),Price (Total),Link
0,The Colonial Farmhouse,"Centreville, Maryland",12,5,6,3.5,1363,10088,https://www.airbnb.com/rooms/54214255?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
1,"4bd room house, pool, hot tub, 1 block from beach","Norfolk, Virginia",12,4,9,2.5,1100,9101,https://www.airbnb.com/rooms/52596438?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
2,Mermaid's Den,"Nags Head, North Carolina",15,8,11,5.5,1875,14978,https://www.airbnb.com/rooms/820527439800540131?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
3,"Beach home with private hot tub, pool, sound view & game room - dog-friendly","Waves, North Carolina",12,6,10,4.5,845,7130,https://www.airbnb.com/rooms/714929118776101156?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
4,"Oceanfront home with private hot tub, pool, WiFi, washer/dryer, AC, and pool","Avon, North Carolina",12,6,10,5.5,1344,11120,https://www.airbnb.com/rooms/46754338?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
5,"Sunrise Shore, truly Stunning waterfront home with private pool and hot tub","Chincoteague, Virginia",16,3,4,3.0,1343,11189,https://www.airbnb.com/rooms/786222532397915594?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
6,River Ridge on the James 26 acres/pool/boat dock,"Charles City, Virginia",12,5,6,5.5,1250,10556,https://www.airbnb.com/rooms/20723446?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
7,"Waterfront home with private saltwater pool, hot tub, beach, AC & sound view","Avon, North Carolina",12,6,12,6.5,1040,8705,https://www.airbnb.com/rooms/30565057?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
8,"Sound-view home with saltwater pool, hot tub, game room - walk 50' to boardwalk","Avon, North Carolina",14,7,9,7.5,1189,9932,https://www.airbnb.com/rooms/30566829?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
9,"Sound-view home with pool, hot tub, pool table, AC, upgrades & washer/dryer","Avon, North Carolina",14,7,11,5.0,1013,8578,https://www.airbnb.com/rooms/49858641?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
10,Welcoming Beach House w/ Pool & Hot tub,"Avon, North Carolina",14,5,10,4.5,1066,8857,https://www.airbnb.com/rooms/779058730035283861?adults=10&children=0&infants=0&pets=0&check_in=2023-06-24&check_out=2023-07-01&previous_page_section_name=1000
